76, 76, 76, 86, 76, 61, 88, 88, 88, 62, 76, 76, 76
76, 76, 76, 76, 76, 77, 0, 0, 0, 75, 76, 76, 76
76, 76, 61, 62, 76, 77, 0, 0, 0, 87, 62, 85, 76
76, 76, 73, 74, 76, 77, 0, 0, 0, 0, 75, 76, 76
76, 76, 76, 76, 76, 77, 0, 0, 0, 0, 75, 76, 76
76, 76, 85, 76, 76, 73, 64, 64, 64, 64, 74, 76, 76
76, 76, 76, 76, 76, 76, 76, 86, 76, 76, 76, 76, 76
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14, 26, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52, 51, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0
0, 0, 0, 78, 79, 80, 0, 0, 0, 59, 60, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
