0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 76, 76, 76, 76, 76, 77, 0, 0, 0, 0, 0
0, 0, 0, 0, 76, 76, 76, 76, 76, 77, 0, 0, 0, 0, 0
0, 0, 0, 0, 76, 76, 61, 62, 76, 77, 0, 0, 0, 0, 0
0, 0, 0, 0, 76, 76, 73, 74, 76, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 76, 76, 76, 76, 76, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 86, 76, 86, 76, 76, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 76, 76, 76, 76, 76, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 32, 2, 2, 2, 2, 2, 5, 0, 0, 13, 0, 0
0, 0, 0, 37, 0, 98, 98, 98, 0, 53, 0, 0, 0, 0, 0
0, 0, 0, 13, 98, 98, 98, 98, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 13, 98, 98, 98, 98, 0, 5, 0, 0, 0, 0, 0
0, 0, 0, 13, 98, 98, 98, 98, 0, 41, 0, 0, 0, 0, 0
0, 0, 1, 42, 0, 0, 0, 0, 0, 29, 0, 103, 0, 0, 0
2, 2, 42, 39, 0, 0, 50, 0, 0, 43, 2, 2, 3, 4, 3
15, 15, 15, 15, 0, 0, 0, 0, 0, 14, 38, 16, 40, 28, 26
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 56, 0, 0, 57, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
59, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
